player_name,country_birth,country_fifa
Elvin Badalov,Russia,Azerbaijan
Vito Laloata,,Samoa
Fa'alavelave Matagi,,Samoa
Hyon-il Pak,"Korea, North","Korea, North"
Dallas Jaye,United States,Guam
Marcus Lopez,Guam,Guam
Travis Nicklaw,United States,Guam
Wen-Chieh Pan,Chinese Taipei (Taiwan),Chinese Taipei (Taiwan)
Merdan Gurbanov,Turkmenistan,Turkmenistan
Furkat Tursunov,,Turkmenistan
Carlos Salcedo,Mexico,Mexico
Dawda Ngum,The Gambia,The Gambia
Faitalia Hamilton-Pama,,Samoa
Farkhat Musabekov,Kyrgyzstan,Kyrgyzstan
Tamirlan Kozubaev,Kyrgyzstan,Kyrgyzstan
Avazbek Otkeev,,Kyrgyzstan
Yong-jik Ri,Japan,"Korea, North"
João Palhinha,Portugal,Portugal
Luka Jovic,Bosnia-Herzegovina,Serbia
Filip Holender,Yugoslavia (Republic),Hungary
Jaba Kankava,UdSSR,Georgia
Wilmar Barrios,Colombia,Colombia
Mathias Normann,Norway,Norway
John Antwi,Ghana,Ghana
Gregor Kobel,Switzerland,Switzerland
Rúben Dias,Portugal,Portugal
Renato Sanches,Portugal,Portugal
Aleksandar Jovicic,Bosnia-Herzegovina,Bosnia-Herzegovina
Sinisa Sanicanin,Bosnia-Herzegovina,Bosnia-Herzegovina
Peter Wilson,Liberia,Liberia
Alex Mellemgaard,Faroe Islands,Faroe Islands
Marcus Rashford,England,England
Dillon Barnes,England,Jamaica
Chang-hoon Kwon,"Korea, South","Korea, South"
Moayad Ajan,Syria,Syria
Senai Hagos,Norway,Eritrea
Rade Krunic,Bosnia-Herzegovina,Bosnia-Herzegovina
Juan Corbalan,,Malta
Ui-jo Hwang,"Korea, South","Korea, South"
Hyun-woo Jo,"Korea, South","Korea, South"
Kyung-won Kwon,"Korea, South","Korea, South"
Ji-soo Park,"Korea, South","Korea, South"
Thitipan Puangchan,Thailand,Thailand
Zafar Babazhanov,UdSSR,Turkmenistan
Jonathan Osorio,Canada,Canada
Joachim Andersen,Denmark,Denmark
Vlasiy Sinyavskiy,Estonia,Estonia
Kristoffer Zachariassen,Norway,Norway
Ahmed Barman,,United Arab Emirates
Sang-woo Kang,"Korea, South","Korea, South"
Ngoc Hai Que,Vietnam,Vietnam
Narubadin Weerawatnodom,Thailand,Thailand
Ali Adnan,Iraq,Iraq
Humam Tariq,Iraq,Iraq
Sami Al Sanea,,Kuwait
Mohannad Khair Alla,Jordan,Jordan
Feras Shilbaya,Jordan,Jordan
Bill Nicolls,,Vanuatu
Birsent Karagaren,Bulgaria,Bulgaria
Faysal Shayesteh,Afghanistan,Afghanistan
Cristian Ganea,Romania,Romania
Ayoub Abdellaoui,Algeria,Algeria
Patrick Aisa,,Papua New Guinea
Timothy Castagne,Belgium,Belgium
Rusiate Matarerega,,Fiji
Ishmael Pole,,Papua New Guinea
Ángel Romero,Paraguay,Paraguay
Tommy Semmy,,Papua New Guinea
Ryan Manning,Ireland,Ireland
Unai Simón,Spain,Spain
Hayao Kawabe,Japan,Japan
Eric Ofori-Antwi,,Ghana
Adama Traoré,Mali,Mali
Hamidou Traore,Mali,Mali
Luis Martínez,Guatemala,Guatemala
Modestas Vorobjovas,,Lithuania
Allan Chibwe,,Zambia
Jerome Bonou,,Benin
Yannick Bangala,Zaire,DR Congo
Christian Luyindama,Zaire,DR Congo
Mohammed Al-Owais,Saudi Arabia,Saudi Arabia
Rodrick Kabwe,Zambia,Zambia
Salulani Phiri,,Zambia
Sylvain Gbohouo,Cote d'Ivoire,Cote d'Ivoire
Christian Kouamé Koffi,Cote d'Ivoire,Cote d'Ivoire
Attila Szalai,Hungary,Hungary
Michael Olunga,Kenya,Kenya
Kasim Adams,Ghana,Ghana
Dhurgham Ismail,Iraq,Iraq
Dmitri Barinov,Russia,Russia
Aleksandr Golovin,Russia,Russia
Ramil Sheydayev,Russia,Azerbaijan
Sergio Agüero,Argentina,Argentina
Sergio Rochet,Uruguay,Uruguay
Sulayman Marreh,The Gambia,The Gambia
Giorgi Beridze,Georgia,Georgia
Mohammed Al Dahi,Yemen,Yemen
Abdulla Al Hazaa,Bahrain,Bahrain
Mohamed Al-Romaihi,,Bahrain
Mohammed Boqshan,Yemen,Yemen
Sayed Shubbar Alawi,Bahrain,Bahrain
Ebrahim Lutfalla,Bahrain,Bahrain
Ahmad Sameer,Jordan,Jordan
Matthew Davies,Australia,Malaysia
Viktor Tsygankov,Israel,Ukraine
Yuning Zhang,China,China
Matatia Paama,,Tahiti
Matthew Ridenton,New Zealand,New Zealand
Joseph Tchacko,,Neukaledonien
Mohammed Al-Khabrani,,Saudi Arabia
Mohammed Al-Kuwaykibi,Saudi Arabia,Saudi Arabia
Andre de Jong,,New Zealand
Andreas Panagiotou Filiotis,Cyprus,Cyprus
Nikolas Ioannou,Cyprus,Cyprus
Manuel Locatelli,Italy,Italy
Júnior Moreno,Venezuela,Venezuela
Rudolf González,Dominican Republic,Dominican Republic
Reiss Greenidge,England,Guyana
Abdoulaye Seck,Senegal,Senegal
Tawfiq Ali,Palästina,Palästina
Michael Estrada,Ecuador,Ecuador
Ajdin Hrustic,Australia,Australia
Abdullah Madu,,Saudi Arabia
Goshen Donna,,Vanuatu
Bong Kalo,Vanuatu,Vanuatu
Felix Komolong,,Papua New Guinea
Didier Simane,,Neukaledonien
Joshua Talau,Papua New Guinea,Papua New Guinea
Jason Thomas,,Vanuatu
Junior Makiesse,,Congo
Temirlan Erlanov,Kazakhstan,Kazakhstan
Nicolas Moumi Ngamaleu,Cameroon,Cameroon
Ángel Correa,Argentina,Argentina
Mohammed Muntari,Ghana,Qatar
Cyrille Bayala,Burkina Faso,Burkina Faso
Joel Abu Hanna,Germany,Israel
Nazir McBurnette,St. Vincent & Grenadinen,St. Vincent & Grenadinen
Rifat Zhemaletdinov,Russia,Russia
Dumitru Celeadnic,Moldova,Moldova
Shihao Wei,China,China
Jason Belfon,Grenada,Grenada
Sean Klaiber,Netherlands,Suriname
Ronald Matarrita,Costa Rica,Costa Rica
Hossam Hassan,Egypt,Egypt
Sandi Lovric,Austria,Slovenia
Dean Mason,England,Montserrat
Ousmane Diabaté,,Niger
Igor Engonga,Spain,Equatorial Guinea
Elia Benedettini,San Marino,San Marino
Ali Salmin,,United Arab Emirates
Aleksandr Mishchenko,Kyrgyzstan,Kyrgyzstan
Vytas Gaspuitis,Lithuania,Lithuania
Robert Skov,Spain,Denmark
Saîf-Eddine Khaoui,France,Tunisia
Tigran Barseghyan,Armenia,Armenia
Eduards Emsis,,Latvia
Vladislavs Sorokins,,Latvia
Milos Vulic,Yugoslavia (Republic),Serbia
Hakob Hakobyan,Georgia,Armenia
David Terteryan,Armenia,Armenia
Antonijs Cernomordijs,Latvia,Latvia
Jhonder Cádiz,Venezuela,Venezuela
Andrei Ivan,Romania,Romania
Mihailo Ristic,Bosnia-Herzegovina,Serbia
Abdülkadir Ömür,Turkey,Turkey
Roberts Ozols,Latvia,Latvia
Omar Al Midani,Syria,Syria
Damion Lowe,Jamaica,Jamaica
Antonin Barak,Czech Republic,Czech Republic
Jamiro Monteiro,Netherlands,Cape Verde
Miguel Almirón,Paraguay,Paraguay
Júnior Alonso,Paraguay,Paraguay
Ángel Cardozo Lucena,Paraguay,Paraguay
Piris da Motta,Paraguay,Paraguay
Amorese Dertin,Central African Republic,Central African Republic
Junior Gourrier,Central African Republic,Central African Republic
Robin Gosens,Germany,Germany
Nemanja Maksimovic,Yugoslavia (Republic),Serbia
Tursunali Rustamov,,Kyrgyzstan
Mohammed Osman,Syria,Syria
Jake Grech,Malta,Malta
Yusupha Bobb,The Gambia,The Gambia
Modou Jobe,The Gambia,The Gambia
Aidan Friggieri,,Malta
Jairo Henríquez,El Salvador,El Salvador
Aricheell Hernández,Cuba,Cuba
Deon Hotto,Namibia,Namibia
Miguel Lemus,El Salvador,El Salvador
Yosel Piedra,Cuba,Cuba
Sandy Sánchez,Cuba,Cuba
Azwan Ali Rahman,,Brunei Darussalam
Djordje Nikolic,Yugoslavia (Republic),Serbia
Ichaka Diarra,Mali,Mali
Youssouf Koné,Mali,Mali
Jaloliddin Masharipov,Uzbekistan,Uzbekistan
Saad Natiq,Iraq,Iraq
Ionut Nedelcearu,Romania,Romania
Richard Ofori,,Ghana
Saturnin Allagbé,Mauritania,Benin
Chico Mioche,Mozambique,Mozambique
Omid Popalzay,Afghanistan,Afghanistan
Shinnosuke Nakatani,Japan,Japan
Kieffer Moore,England,Wales
Dorukhan Toköz,Turkey,Turkey
Nuha Marong,Spain,The Gambia
Stephan Schröck,Germany,Philippines
Ayrton Statie,Netherlands Antilles,Curacao
Michael Lilander,Estonia,Estonia
Erkin Tapalov,Kazakhstan,Kazakhstan
Ruslan Valiullin,Kazakhstan,Kazakhstan
David Brooks,England,Wales
Jorginho,Guinea-Bissau,Guinea-Bissau
Jason Denayer,Belgium,Belgium
Renato Tapia,Peru,Peru
Martin Valjent,Slovakia,Slovakia
Vasko Kalezic,,Montenegro
Alan Browne,Ireland,Ireland
Ang Li,China,China
Ricardo Adé,Haiti,Haiti
Amari'i Bell,England,Jamaica
Florian Neuhaus,Germany,Germany
Siu-Kwan Cheng,United Kingdom,Hongkong
Vahid Amiri,Iran,Iran
Kamal Kamyabinia,Iran,Iran
Harry Wilson,Wales,Wales
Daler Kuzyaev,Russia,Russia
Deividas Mikelionis,Lithuania,Lithuania
Faisal Bangal,Mozambique,Mozambique
Luka Modric,Jugoslawien (SFR),Croatia
Lionel Messi,Argentina,Argentina
Beranger Itoua,,Congo
Petar Vitanov,Bulgaria,Bulgaria
Vladislav Klimovich,Belarus,Belarus
Yohan Boli,France,Cote d'Ivoire
Joseph Ochaya,Uganda,Uganda
Jonathan Rodríguez,Uruguay,Uruguay
Dheeraj Singh,India,India
Anirudh Thapa,India,India
Kevin Álvarez,Honduras,Honduras
Alberth Elis,Honduras,Honduras
Max Gradel,Cote d'Ivoire,Cote d'Ivoire
Faris Abdalla,,Sudan
Lucas Hernández,France,France
Siwarak Tedsungnoen,Thailand,Thailand
Presnel Kimpembe,France,France
Ianis Hagi,Turkey,Romania
Birger Meling,Norway,Norway
Marcos Llorente,Spain,Spain
Gerson Rodrigues,Portugal,Luxembourg
Kristiyan Malinov,Bulgaria,Bulgaria
Kasper Dolberg,Denmark,Denmark
Yoel Bárcenas,Panama,Panama
Tomas Soucek,Czech Republic,Czech Republic
Alex McQueen,England,Grenada
Mehdi Torabi,Iran,Iran
Jean Carlos López,Dominican Republic,Dominican Republic
Edin Dzeko,Jugoslawien (SFR),Bosnia-Herzegovina
Dion Charles,England,Northern Ireland
Manuel Akanji,Switzerland,Switzerland
Ramy Bensebaini,Algeria,Algeria
Tamkin Khalilzada,Azerbaijan,Azerbaijan
Sandesh Jhingan,India,India
Nicholas Wadada,Uganda,Uganda
Bahlul Mustafazada,Azerbaijan,Azerbaijan
Ibrahim Alma,Syria,Syria
Petur Knudsen,,Faroe Islands
Fabián Balbuena,Paraguay,Paraguay
Thomas Hobi,Liechtenstein,Liechtenstein
Marco Weymans,Belgium,Burundi
Félix Crisanto,Honduras,Honduras
Eric Bailly,Cote d'Ivoire,Cote d'Ivoire
Adam Masina,Morocco,Morocco
Olivier Thill,Luxembourg,Luxembourg
Tyrone Sterling,England,Grenada
Narciso Orellana,El Salvador,El Salvador
Sofyan Amrabat,Netherlands,Morocco
Oleksandr Tymchyk,Ukraine,Ukraine
Steven Pereira,Netherlands,Cape Verde
Bajram Jashanica,Jugoslawien (SFR),Kosovo
Junior Assoumou,France,Gabon
Ousmane Dembélé,France,France
Sebastián Vegas,Chile,Chile
Leonel Alves,Portugal,Guinea-Bissau
Kemar Lawrence,Jamaica,Jamaica
Rustam Ashurmatov,Uzbekistan,Uzbekistan
Odildzhon Khamrobekov,Uzbekistan,Uzbekistan
Kudakwashe Mahachi,Zimbabwe,Zimbabwe
Mykola Matvienko,Ukraine,Ukraine
Oleksandr Zubkov,Ukraine,Ukraine
Kamil Jozwiak,Poland,Poland
Lorenc Trashi,Albania,Albania
Jabar Sharza,Afghanistan,Afghanistan
Yerry Mina,Colombia,Colombia
Saulius Mikoliunas,UdSSR,Lithuania
Brandur Hendriksson Olsen,Faroe Islands,Faroe Islands
Hassane Kamara,France,Cote d'Ivoire
Chancel Massa,People's republic of the Congo,Congo
Núrio Fortuna,Angola,Angola
Estrela,Angola,Angola
Edgar Babayan,Germany,Armenia
Saïd Benrahma,Algeria,Algeria
Qazim Laci,Albania,Albania
Ellyes Skhiri,France,Tunisia
Jurgen Degabriele,Malta,Malta
Álvaro Silva,Spain,Philippines
Vladislav Vasiljev,Kazakhstan,Kazakhstan
Dylan Bahamboula,France,Congo
Aboubakar Kamara,France,Mauritania
Gunnar Vatnhamar,Faroe Islands,Faroe Islands
Sessi D'Almeida,France,Benin
Cédric Yambéré,France,Central African Republic
Demba Camara,Guinea,Guinea
Samba Camara,France,Mali
Nanú,Portugal,Guinea-Bissau
Alexandru Paun,Romania,Romania
Milot Rashica,Yugoslavia (Republic),Kosovo
Sylvanus Nimely,Liberia,Liberia
Fousseny Coulibaly,Cote d'Ivoire,Cote d'Ivoire
Keo Sokpheng,Cambodia,Cambodia
Baboucarr Gaye,Germany,The Gambia
Ugurcan Cakir,Turkey,Turkey
Hee-chan Hwang,"Korea, South","Korea, South"
Simon Msuva,Tanzania,Tanzania
Bubacarr Sanneh,The Gambia,The Gambia
Thiago Silva,Brazil,Brazil
Giorgio Chiellini,Italy,Italy
Gerardo Gordillo,Guatemala,Guatemala
Josip Brekalo,Croatia,Croatia
Joan Cervós,Andorra,Andorra
Nikola Vlasic,Croatia,Croatia
Jordi Aláez,,Andorra
Amer Gojak,Bosnia-Herzegovina,Bosnia-Herzegovina
Amir Hadziahmetovic,Denmark,Bosnia-Herzegovina
Alex Martínez,Andorra,Andorra
Darko Todorovic,Bosnia-Herzegovina,Bosnia-Herzegovina
Matija Sarkic,England,Montenegro
Dani Olmo,Spain,Spain
Joe Morrell,England,Wales
Karl Micallef,,Malta
Brandon Borrello,Australia,Australia
Bozhidar Kraev,Bulgaria,Bulgaria
João Moutinho,Portugal,Portugal
Evgeniy Yablonskiy,Belarus,Belarus
Daniel Mandroiu,Ireland,Ireland
Zeus de la Paz,Netherlands,Curacao
Dostonbek Khamdamov,Uzbekistan,Uzbekistan
Sanzhar Kodirkulov,Uzbekistan,Uzbekistan
Otabek Shukurov,,Uzbekistan
Taha Mosa,,Syria
Maximilian Göppel,Liechtenstein,Liechtenstein
Claudio Majer,Liechtenstein,Liechtenstein
Livio Meier,Liechtenstein,Liechtenstein
Ali Musse,Somalia,Somalia
Dennis Salanovic,Liechtenstein,Liechtenstein
Aron Sele,Switzerland,Liechtenstein
Majid Hosseini,Iran,Iran
Ali Gholizadeh,Iran,Iran
Sadegh Moharrami,Iran,Iran
Chris Bedia,Cote d'Ivoire,Cote d'Ivoire
Franck Kessié,Cote d'Ivoire,Cote d'Ivoire
Francisco La Mantia,Venezuela,Venezuela
Koji Miyoshi,Japan,Japan
Yusuf Al-Rawashdeh,United Arab Emirates,Jordan
Razvan Marin,Romania,Romania
Kevin López,Honduras,Honduras
Osvaldo Rodríguez,Mexico,Mexico
Amjad Attwan,Iraq,Iraq
Sherko Gubari,Iraq,Iraq
Alaa Mhawi,Iraq,Iraq
Bashar Resan,Iraq,Iraq
Keidi Bare,Albania,Albania
Damil Dankerlui,Netherlands,Suriname
Dimitrios Giannoulis,Greece,Greece
Dmitri Antilevskiy,Belarus,Belarus
Alexandru Cicaldau,Romania,Romania
Pablo Ganet,Spain,Equatorial Guinea
Fodé Ballo-Touré,France,Senegal
Elvir Koljic,Spain,Bosnia-Herzegovina
Lukasz Fabianski,Poland,Poland
Elvin Camalov,Azerbaijan,Azerbaijan
Tyler Roberts,England,Wales
Hamari Traoré,Mali,Mali
Sulaiman Abdulghafoor,,Kuwait
Ahmad Al Dhefiri,,Kuwait
Fahad Al-Hajeri,,Kuwait
Joe Rodon,Wales,Wales
Óscar Pleitez,El Salvador,El Salvador
Nikolai Zolotov,Belarus,Belarus
Harry Souttar,Scotland,Australia
Eray Cömert,Switzerland,Switzerland
Grigoris Kastanos,Cyprus,Cyprus
Nurlan Dairov,Kazakhstan,Kazakhstan
Erkebulan Tungyshbaev,Kazakhstan,Kazakhstan
Érick Gutiérrez,Mexico,Mexico
Kabaso Chongo,Zambia,Zambia
Bradley Banda,Gibraltar,Gibraltar
Lee Casciaro,Gibraltar,Gibraltar
Roy Chipolina,England,Gibraltar
Jack Sergeant,Gibraltar,Gibraltar
Abdulwasea Al Matari,,Yemen
Mohammed Al Sarori,Yemen,Yemen
Alaa Noman,Yemen,Yemen
Scott Ballantine,Gibraltar,Gibraltar
Dayle Coleing,Gibraltar,Gibraltar
Alain Pons,Gibraltar,Gibraltar
Sarach Yooyen,Thailand,Thailand
Marius Adamonis,Lithuania,Lithuania
Linas Megelaitis,Lithuania,Lithuania
Dimitrie Apai,Suriname,Suriname
Sergino Eduard,Suriname,Suriname
Kieran Tierney,Isle of Man,Scotland
Almedin Ziljkic,Yugoslavia (Republic),Bosnia-Herzegovina
Amrinder Singh,India,India
Vüqar Mustafayev,Azerbaijan,Azerbaijan
Briel Thomas,Dominica,Dominica
Erskim Williams,Dominica,Dominica
Ioannis Kousoulos,Cyprus,Cyprus
Joel Apezteguia,Cuba,Cuba
Frank Sturing,Netherlands,Canada
Akel Clarke,Guyana,Guyana
Milad Sarlak,Iran,Iran
Gaetano Castrovilli,Italy,Italy
Lejaun Simmons,,Bermuda
Alen Sherri,Albania,Albania
Marcus Berg,Sweden,Sweden
Mostafa Fathi,Egypt,Egypt
Artem Besedin,Ukraine,Ukraine
Abdallah Gomaa,Egypt,Egypt
Albert Gudmundsson,Iceland,Iceland
Dominic Calvert-Lewin,England,England
Stefan Milosevic,,Montenegro
Yassine Meriah,Tunisia,Tunisia
Donan Jervier,Dominica,Dominica
Alex Stimac,San Marino,San Marino
Vurnon Anita,Netherlands Antilles,Curacao
Kieran Monlouis,England,St. Lucia
Mehdi Taremi,Iran,Iran
Kenshiro Daniels,United States,Philippines
Tesho Akindele,Canada,Canada
Komron Tursunov,Tajikistan,Tajikistan
Shogo Taniguchi,Japan,Japan
Innocent Maela,South Africa,South Africa
Ado Onaiwu,Japan,Japan
Rey Manaj,Albania,Albania
Michaël Maria,Netherlands,Curacao
Mikel Villanueva,Venezuela,Venezuela
Patrick Berg,Norway,Norway
Afsha,,Egypt
Mahmoud Hamdi,,Egypt
Jordan Larsson,Netherlands,Sweden
Jhon Murillo,Venezuela,Venezuela
Matthew Calleja Cremona,,Malta
Musab Khoder,Sudan,Qatar
Jan Mlakar,Slovenia,Slovenia
Luis Romero,Venezuela,Venezuela
Jefferson Savarino,Venezuela,Venezuela
Kyrian Nwoko,,Malta
Kai Havertz,Germany,Germany
Leo Väisänen,Finland,Finland
Charitha Rathnayake,,Sri Lanka
Bekzhan Sagynbaev,Kyrgyzstan,Kyrgyzstan
Mustafa Yusupov,,Kyrgyzstan
Yaseen Al-Sheyadi,,Oman
Jaime Moreno,Venezuela,Nicaragua
Harib Al-Saadi,Oman,Oman
Fahad Al Reshidi,,Kuwait
Fernando Gorriarán,Uruguay,Uruguay
Désiré Segbe Azankpo,Benin,Benin
Rawad Abu Khizran,,Jordan
Ehsan Haddad,Jordan,Jordan
Andrea Bosco,Italy,Dominican Republic
Tarek Salman,,Qatar
Ikromzhon Alibaev,Uzbekistan,Uzbekistan
Andreas Ulmer,Austria,Austria
Adrián Martínez,Venezuela,Venezuela
Denwin Farmer,,South Africa
Yeferson Soteldo,Venezuela,Venezuela
Tian Ming,,China
Jun-ho Son,"Korea, South","Korea, South"
Wai-Keung Chung,,Hongkong
Gilchrist Nguema,Gabon,Gabon
Yunus Sentamu,Uganda,Uganda
David Najem,United States,Afghanistan
Jordan Lotomba,Switzerland,Switzerland
Allan Cruz,Costa Rica,Costa Rica
Marvin Martins,Luxembourg,Luxembourg
Pablo Galdames,Chile,Chile
Joseph Adjei,,Ghana
Gísli Eyjólfsson,,Iceland
Abdul Ganiyu,Ghana,Ghana
Florin Tanase,Romania,Romania
Jae-sung Lee,"Korea, South","Korea, South"
Bryan Acosta,Honduras,Honduras
Luis López,Honduras,Honduras
Ibréhima Coulibaly,France,Mauritania
Nahitan Nández,Uruguay,Uruguay
Benjaloud Youssouf,France,Comoros
Mohamed Abdelrahman,Sudan,Sudan
Aboubakary Kanté,France,The Gambia
Karl Toko Ekambi,France,Cameroon
Ting-Yang Chen,,Chinese Taipei (Taiwan)
Mao Li,,Chinese Taipei (Taiwan)
Chang-Lun Lin,,Chinese Taipei (Taiwan)
Myrto Uzuni,Albania,Albania
Aymen Barkok,Germany,Morocco
Jonathan Bolingi,Zaire,DR Congo
Khairulazhan Khalid,Malaysia,Malaysia
Milan Makaric,Yugoslavia (Republic),Serbia
Souleymane Diarra,Mali,Mali
Kazadi Kasengu,Zaire,DR Congo
Diadié Samassékou,Mali,Mali
Gurbangeldy Batyrov,,Turkmenistan
Bheu Januário,Mozambique,Mozambique
Irfan Zakaria,Malaysia,Malaysia
Junior Eldstal,Malaysia,Malaysia
Salim Jamal Magoola,Uganda,Uganda
Alessandro Bastoni,Italy,Italy
Gianluigi Donnarumma,Italy,Italy
Scott McTominay,England,Scotland
Luka Menalo,Croatia,Bosnia-Herzegovina
Shimeket Gugsa,Ethiopia,Ethiopia
Ben Chilwell,England,England
Martin Ødegaard,Norway,Norway
Dion Cools,Malaysia,Malaysia
Vincent Thill,Luxembourg,Luxembourg
Sebastian Larsson,Sweden,Sweden
Fabrice Ngah,Cameroon,Cameroon
Eldar Civic,Bosnia-Herzegovina,Bosnia-Herzegovina
Lucas Torreira,Uruguay,Uruguay
Dramane Nikièma,Burkina Faso,Burkina Faso
David Nshimirimana,Burundi,Burundi
Rafael Díaz,,Dominican Republic
Matvey Safonov,Russia,Russia
Marcus Thuram,Italy,France
David Domgjoni,Yugoslavia (Republic),Kosovo
Dusan Kuciak,CSSR,Slovakia
Toni Kroos,DDR,Germany
Jakub Jankto,Czech Republic,Czech Republic
Daniel James,England,Wales
Mathias Jensen,Denmark,Denmark
Cedric Sansot,,Neukaledonien
Willy Waheo,,Neukaledonien
Caglar Söyüncü,Turkey,Turkey
Noor Husin,Afghanistan,Afghanistan
Ame Votoniu,,Fiji
Nicklas Frenderup,Denmark,Trinidad and Tobago
Zizo,,Egypt
Jonathan Richard,Netherlands,Aruba
Sven Karic,,Slovenia
Erwin Saavedra,Bolivia,Bolivia
Edvin Muratovic,Luxembourg,Luxembourg
Jordan Thompson,Northern Ireland,Northern Ireland
Michal Sadilek,Czech Republic,Czech Republic
Éverton,Brazil,Brazil
Denzel Dumfries,Netherlands,Netherlands
John Matkin,United States,Guam
Nickenson Paul,Aruba,Aruba
Mamadou Ndioko Niass,Mauritania,Mauritania
El Hacen,Mauritania,Mauritania
Dylan Tavares,Switzerland,Cape Verde
Dennis Hadzikadunic,Sweden,Bosnia-Herzegovina
Mohammadreza Akhbari,Iran,Iran
Abdoul Ba,Senegal,Mauritania
Markus Poom,England,Estonia
Conor Hazard,Northern Ireland,Northern Ireland
Lassi Lappalainen,Finland,Finland
Dunstan Vella,,Malta
Abdalla Al Naqbi,,United Arab Emirates
Masih Saighani,Afghanistan,Afghanistan
Sigitas Olberkis,Lithuania,Lithuania
Rafael Borré,Colombia,Colombia
Xavier Arreaga,Ecuador,Ecuador
Houcine Benayada,,Algeria
Andrés Cubas,Argentina,Paraguay
Shahin Abdulrahman,,United Arab Emirates
Christoph Baumgartner,Austria,Austria
Jean Borg,,Malta
Joseph Mbong,Nigeria,Malta
Vangelis Pavlidis,Greece,Greece
Khitsakhone Champathong,Laos,Laos
Khounsombath Phommaxay,Laos,Laos
Thinnakone Vongsa,Laos,Laos
Mario Jurcevic,Slovenia,Slovenia
Amiruddin Sharifi,Iran,Afghanistan
Amir Gurbani,,Turkmenistan
Ilya Tamurkin,UdSSR,Turkmenistan
Abdulla Assadhulla,Maldives,Maldives
Ahmed Numaan,,Maldives
Mus'ab Al-Batat,Palästina,Palästina
Valeriy Kashuba,UdSSR,Kyrgyzstan
Ghanem Mahajna,,Palästina
Tamer Seyam,Palästina,Palästina
Gavin Whyte,Northern Ireland,Northern Ireland
Alexis Arias,Peru,Peru
Abbas Hüseynov,Azerbaijan,Azerbaijan
Luis Iberico,Peru,Peru
Micium Mhone,Malawi,Malawi
Ahmed Touba,France,Algeria
Donyell Malen,Netherlands,Netherlands
Matthijs de Ligt,Netherlands,Netherlands
Abdoulaye Boureima Katkoré,Niger,Niger
Issoufou Dayo,Burkina Faso,Burkina Faso
Joseph Iaruel,,Vanuatu
Atkin Kaua,,Solomon Islands
Allen Peter,,Solomon Islands
Frenkie de Jong,Netherlands,Netherlands
Evgeni Berezkin,Belarus,Belarus
Hojjat Haghverdi,Iran,Azerbaijan
Kevin Fisher,,British Virgin Islands
Wildens Delva,Haiti,Turks- and Caicosinseln
Ahmad Nourollahi,Iran,Iran
Marios Ilia,Cyprus,Cyprus
Smail Prevljak,Bosnia-Herzegovina,Bosnia-Herzegovina
Juriën Gaari,Netherlands,Curacao
Kristoffer Ajer,Norway,Norway
Aldin Skenderovic,Luxembourg,Luxembourg
Robin Koch,Germany,Germany
Karolis Silkaitis,Lithuania,Lithuania
Ignas Driomovas,Lithuania,Lithuania
Enes Mahmutovic,Yugoslavia (Republic),Luxembourg
Fran Núñez,Spain,Dominican Republic
Ilija Martinovic,Yugoslavia (Republic),Montenegro
Georgios Masouras,Greece,Greece
Levan Shengelia,Georgia,Georgia
Ariel Lassiter,Costa Rica,Costa Rica
Karol Swiderski,Poland,Poland
Guram Giorbelidze,Georgia,Georgia
Tim Krul,Netherlands,Netherlands
Jhegson Méndez,Ecuador,Ecuador
Luis Abram,Peru,Peru
Mosha Gaolaolwe,Botsuana,Botsuana
Kpah Sherman,Liberia,Liberia
Mutwakil Abdulkarim,,Southern Sudan
Akeuch Aluck,,Southern Sudan
Karl Hall,England,Seychelles
Wangu Gome,Namibia,Namibia
Senky Vidot,,Seychelles
Omari Sterling-James,England,St. Kitts & Nevis
Kaleem Simon,England,Montserrat
Yohan Cumana,,Venezuela
Takehiro Tomiyasu,Japan,Japan
Bernaldo Manzano,Venezuela,Venezuela
Jón Dagur Thorsteinsson,Iceland,Iceland
Yairo Moreno,Colombia,Colombia
Samy Mmaee,Belgium,Morocco
Iulian Cristea,Romania,Romania
Matteo Pessina,Italy,Italy
Aleksey Isaev,Russia,Azerbaijan
Kwame Quee,,Sierra Leone
Sveinn Aron Gudjohnsen,Iceland,Iceland
Alfons Sampsted,Iceland,Iceland
Patrick Andrade,Cape Verde,Cape Verde
Emmanuel Boateng,Ghana,Ghana
Roland Sallai,Hungary,Hungary
Bjarni Petersen,,Faroe Islands
Adi Nalic,Sweden,Bosnia-Herzegovina
Ahmad Mendes Moreira,Netherlands,Guinea
Richard Peralta,Panama,Panama
Miguel Camargo,Panama,Panama
Milad Mohammadi,Iran,Iran
Danial Esmaeilifar,Iran,Iran
Massiah McDonald,England,Montserrat
Lubambo Musonda,Zambia,Zambia
Jhow Benavídez,Honduras,Honduras
Edrick Menjívar,Honduras,Honduras
Orbelín Pineda,Mexico,Mexico
Denis Zakaria,Switzerland,Switzerland
Raïs M'Bolhi,France,Algeria
Kenny Dougall,Australia,Australia
Luis Copete,Colombia,Nicaragua
Valeriane Gvilia,Georgia,Georgia
Ermedin Demirovic,Germany,Bosnia-Herzegovina
Marco Soares,Portugal,Cape Verde
Renzo Garcés,Peru,Peru
Ben White,England,England
Daniel Naumov,Bulgaria,Bulgaria
Oscar Ribera,Bolivia,Bolivia
Altay Bayindir,Turkey,Turkey
